source,target,weight
DOV,SLC,1.0
DOV,DTW,12.0
DOV,PHX,1.0
DOV,LUF,1.0
DOV,LAN,2.0
CVS,DOV,1.0
DFW,DOV,1.0
DOV,HUF,1.0
BAD,DOV,1.0
DOV,SAN,3.0
DOV,LSV,1.0
DOV,TCM,4.0
BGR,DOV,3.0
DOV,TIK,1.0
AVP,DOV,1.0
DOV,ELP,1.0
DOV,JAN,2.0
CVG,DOV,7.0
DOV,PIT,2.0
DOV,ILN,1.0
DOV,IAD,2.0
DOV,MHR,1.0
DOV,TLH,2.0
CLE,DOV,2.0
DOV,EIL,1.0
FAR,SNA,12.0
BNA,FAR,10.0
FAR,PIT,8.0
FAR,MCO,7.0
FAR,PHX,16.0
FAR,SEA,44.0
FAR,GEG,17.0
FAR,HNL,6.0
BDL,FAR,6.0
FAR,LGA,11.0
FAR,ORD,19328.0
DTW,FAR,21.0
FAR,SFO,22.0
FAR,SLC,2310.0
CLE,FAR,8.0
BWI,FAR,8.0
ANC,FAR,28.0
FAR,PDX,19.0
FAR,LAS,1582.0
FAR,MSP,104032.0
FAR,FSD,5020.0
FAR,GTF,20.0
FAR,GFK,608.0
DCA,FAR,12.0
FAR,IAD,16.0
FAR,MOT,36.0
BOS,FAR,8.0
FAR,TPA,6.0
DLH,FAR,9.0
CVG,FAR,4.0
FAR,MKE,19.0
FAR,SAN,8.0
BIL,FAR,180.0
BIS,FAR,1522.0
FAR,MCI,11.0
FAR,GRR,5.0
AZO,FAR,2.0
FAR,RST,5.0
FAR,SMF,16.0
FAR,LNK,3.0
CID,FAR,37.0
FAR,SUX,9.0
FAR,OMA,16.0
DAY,FAR,13.0
FAR,MEM,20.0
CMH,FAR,5.0
FAR,HOU,2.0
ABQ,FAR,5.0
FAR,LAX,201.0
EWR,FAR,11.0
ATL,FAR,13.0
FAR,MDW,13.0
BUF,FAR,3.0
DSM,FAR,263.0
FAR,MSN,13.0
FAR,SJC,4.0
FAR,FCA,7.0
FAI,FAR,6.0
FAR,RAP,20.0
FAR,PHL,14.0
FAR,MBS,5.0
FAR,GRB,7.0
FAR,MSO,15.0
COS,FAR,17.0
CLT,FAR,3.0
FAR,PIA,6.0
DFW,FAR,7.0
FAR,MSY,19.0
FAR,IND,5.0
FAR,MIA,2.0
BZN,FAR,13.0
FAR,LSE,3.0
FAR,STL,6.0
FAR,YIP,16.0
FAR,IAH,8.0
ATW,FAR,2.0
FAR,ILN,2101.0
FAR,SAT,2.0
FAR,JMS,4.0
FAR,ICT,3.0
FAR,SFB,215.0
ALB,FAR,2.0
FAR,LRD,6.0
AEX,FAR,1.0
FAR,HSV,2.0
BTV,FAR,1.0
FAR,OAK,3.0
FAR,OKC,2.0
FAR,TYS,2.0
BGR,FAR,2.0
FAR,FNT,2.0
FAR,MWA,6.0
CDC,FAR,6.0
BRD,FAR,4.0
FAR,RDU,2.0
FAR,SHV,6.0
FAR,RWI,7.0
FAR,KTN,5.0
FAR,SAV,2.0
FAR,GLH,4.0
EAU,FAR,2.0
FAR,MHK,3.0
FAR,GYY,1.0
EKI,FAR,1.0
